"Block Height","Tx Position","Sender address"
755829,0,"Coinbase tx"
755829,1,ecash:qqm4e7eax37np07vakllrsnlllvup6ytmujfeqwazy
755829,2,ecash:qphph2jy6pm2970r674azd7rpxf0x965xv96jcjy6k
755830,0,"Coinbase tx"
755830,1,ecash:qr8ger8kn2fz5cr73cp7ylkqznauyjyzuqhrr7863u
755831,0,"Coinbase tx"
755831,1,ecash:qq337uy8jdmgg7gdzpyjjne6a7w0k7c9m5m5gnpx4u
755831,2,ecash:qz3yu2m8dzwrw5uc85a5pz78dyxnrvdhf542l5ja56
755832,0,"Coinbase tx"
755832,1,ecash:qq337uy8jdmgg7gdzpyjjne6a7w0k7c9m5m5gnpx4u
755833,0,"Coinbase tx"
755833,1,"BUX Self Mint"
755833,2,ecash:qq2rc9khcv35h2ry460h6gssphnqauhqrc59pl8qx0
755833,3,ecash:qpwxpg8rj995ky4yr8d4hehhgf65apvhzcfxrrams5
755833,4,ecash:qz3yu2m8dzwrw5uc85a5pz78dyxnrvdhf542l5ja56
755834,0,"Coinbase tx"
755834,1,ecash:qp4ym9e8vs9cczuyjmsrqs3svuv8m6w66uph2n69hr
755834,2,ecash:qpglc4hpx0ymclgnxus6ej5e258cktuna5zzgc0rnl
755835,0,"Coinbase tx"
755836,0,"Coinbase tx"
755836,1,ecash:qp2g8n7z9mj0pcj0ekwu8jzps4r23f7tsgjv86yduc
755837,0,"Coinbase tx"
755838,0,"Coinbase tx"
755839,0,"Coinbase tx"
755839,1,ecash:qzd9yxl925kqyc9ymcnxrqjyvpcqnnsjwcdqk3mq64
755840,0,"Coinbase tx"
755841,0,"Coinbase tx"
755841,1,ecash:qq337uy8jdmgg7gdzpyjjne6a7w0k7c9m5m5gnpx4u
755841,2,ecash:qz5whrnk53hsj5tptckug78yvjuw6r5ztu8cnvcyx7
755841,3,ecash:qp7wk2ukygmsk9l6clk4drphpudsu5jm6um7urarrj
755841,4,ecash:qrxrx0qc3y7epkcwfpshqnt4trhnl5w3j577smxe9j
